Statistic,201405,201406
Low Price,2082.6,2112.4
High Price,2185.8,2200.0
%trades at prices,,
    >Midquote,0.0,0.0
    =Midquote,0.9000738606013045,0.9176230459917623
    <Midquote,0.09992613939869557,0.08237695400823769
"Price change, Zk",,
    Mean,1.8465150326114153e-05,-1.955536000195129e-05
    Std.dev.,0.15989415166766147,0.1356148332988171
"Time between trades, Delta tk",,
    Mean,4.819211340240179,4.55149323506765
    Std.dev.,471.13500000773394,453.6429722626737
"Bid ask spread, ABk",,
    Mean,0.2230999030568942,0.21965435901081393
    Std.dev.,0.06931393432769399,0.06280523177859389
"Buy/sell indicator, IBSk",,
    Mean,0.8100331713236215,0.8437251738593725
    Std.dev.,0.5778943782591794,0.5288190650846128
